index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,-1.37845e-12,5.09167,2.545835,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_UW,1367.42727128442,1325.7028424076022,10.28885837153339,20638113.446799662,34208281.92411289,31603092.44918441,40424953.31175001,1.2335599407196692e-07,7.442159783550778e-08,8.055651528702537e-08,6.297681979659879e-08,,
0,-1.37845e-12,5.09167,2.545835,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_DW,1100.8315392472334,1067.2856178252919,24.67028414149639,380796724.03065944,2800952309.3214407,350305815.06948936,971027189.7501825,6.685548586271516e-09,9.089176533022636e-10,7.267464285441532e-09,2.621795791995248e-09,,
600,60.0,4.5795,4.5795,4966040.0,-10209.099999999999,2532400.0,-8777710.0,-23632400.0,19230200.0,Main Bearing_UW,1562.3977680073378,1514.0676647484288,7.758166397624631,8053345.516064393,8947811.755716369,11495256.608771041,10795466.733883986,5.68645662956476e-07,5.11801111268837e-07,3.9838171133176603e-07,4.242058368468883e-07,,
600,60.0,4.5795,4.5795,4966040.0,-10209.099999999999,2532400.0,-8777710.0,-23632400.0,19230200.0,Main Bearing_DW,1317.0218236825738,1276.8335409560962,13.764858466397742,54452588.87400096,126626747.79395752,62872942.457890905,92465633.44600677,8.410068455324697e-08,3.616534484050398e-08,7.283737361373083e-08,4.952650870741178e-08,,
1200,120.0,4.38215,4.38215,5106410.0,29246.9,2185940.0,-12382500.0,-8192719.999999999,17962200.0,Main Bearing_UW,1341.9460598890832,1301.0040282143711,11.192440557392052,27323019.173748925,46069628.448617026,41442054.82852826,52627677.70836272,1.6038308109852766e-07,9.5120150684253e-08,1.0574161966948066e-07,8.326702204653164e-08,,
1200,120.0,4.38215,4.38215,5106410.0,29246.9,2185940.0,-12382500.0,-8192719.999999999,17962200.0,Main Bearing_DW,1099.7020108325733,1066.3446555138462,23.317348068568116,315531859.82289,1773905860.1355975,328681762.1243259,795775304.1355218,1.38881379600137e-08,2.4703396603385866e-09,1.3332501236689931e-08,5.506768025127999e-09,,
1800,180.0,4.28927,4.28927,5052490.0,-37181.3,2384190.0,-6482930.0,-17725800.0,17233000.0,Main Bearing_UW,1488.113827446009,1442.19915526125,8.9946474406095,13184384.164552957,16716818.062482867,18342860.411155935,18682801.148691084,3.2532956765109827e-07,2.565841169035811e-07,2.338386655001371e-07,2.2958388123188402e-07,,
1800,180.0,4.28927,4.28927,5052490.0,-37181.3,2384190.0,-6482930.0,-17725800.0,17233000.0,Main Bearing_DW,1165.9886092556383,1130.4056197431532,18.63708494211098,149522303.96904194,540344713.5321712,179562048.22101894,348652559.03616565,2.8686489481114992e-08,7.93802528752717e-09,2.3887397378762537e-08,1.2302419382371649e-08,,
2400,240.0,5.03569,5.03569,5028510.0,-64664.50000000001,2932120.0,-26227200.0,-29064600.0,23219700.0,Main Bearing_UW,1690.779681890453,1637.4147333863252,6.113571903532993,3639955.8265734343,3302369.980762015,5304642.180596727,4349305.603617878,1.3834481075943375e-06,1.5248715405407195e-06,9.492987139489826e-07,1.1578147085850136e-06,,
2400,240.0,5.03569,5.03569,5028510.0,-64664.50000000001,2932120.0,-26227200.0,-29064600.0,23219700.0,Main Bearing_DW,1590.0233883768724,1540.9559505717339,8.696561594371207,11783418.143720409,15715748.310655514,12402223.891085899,12478160.698431537,4.2735392554015473e-07,3.2042317683248504e-07,4.0603121216182876e-07,4.035602779689293e-07,,
3000,300.0,5.24514,5.24514,4908640.0,35250.0,3363780.0,-11341400.0,-31626800.0,25408300.0,Main Bearing_UW,1638.4871956071347,1587.3221227964593,6.52685176910241,4526805.800070688,4475499.584207816,6684681.427698519,5879572.513754179,1.1586845629468123e-06,1.1719674868271524e-06,7.846507057563487e-07,8.920954691399689e-07,,
3000,300.0,5.24514,5.24514,4908640.0,35250.0,3363780.0,-11341400.0,-31626800.0,25408300.0,Main Bearing_DW,1505.507271724394,1459.064935757785,10.229115905063423,20241360.37262415,33903980.61206627,20648491.096587174,24138095.297565404,2.5912981654602125e-07,1.5470572792072915e-07,2.5402049842116204e-07,2.1729717839539024e-07,,
3600,360.0,5.47014,5.47014,4968980.0,83873.5,3454310.0,-10098000.0,-23923600.0,27428400.0,Main Bearing_UW,1531.5845597612076,1484.1973196754245,7.668110681656052,7745936.659058939,9324644.186728826,11477515.177813534,11706810.032271996,7.061947755024081e-07,5.86632571759178e-07,4.7659618961550016e-07,4.6726136196970336e-07,,
3600,360.0,5.47014,5.47014,4968980.0,83873.5,3454310.0,-10098000.0,-23923600.0,27428400.0,Main Bearing_DW,1372.8722633396303,1330.9850308980294,13.338602966209466,49032102.61005981,123358907.72071633,48100602.70489657,72773257.35529211,1.1156241949285085e-07,4.4343291466104396e-08,1.137228993482684e-07,7.516689782475716e-08,,
