=== (a) 베어링 손상 ===
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note
Main Bearing_UW,ISO281,basic,5.393342666563169e-06,45040.0,0.24291615370200514,4.11664677198347,123.49940315950411,1001점 표본(1 DLC)
Main Bearing_UW,ISO281,modified,4.789600585941766e-06,45040.0,0.21572361039081714,4.635561208104868,139.066836243146,1001점 표본(1 DLC)
Main Bearing_UW,ISO16281,basic,3.7097079980005237e-06,45040.0,0.16708524822994358,5.984968814385066,179.549064431552,1001점 표본(1 DLC)
Main Bearing_UW,ISO16281,modified,3.881181246139025e-06,45040.0,0.1748084033261017,5.720548789262261,171.6164636778678,1001점 표본(1 DLC)
Main Bearing_DW,ISO281,basic,9.366127229208873e-07,45040.0,0.04218503704035676,23.705087636721508,711.1526291016453,1001점 표본(1 DLC)
Main Bearing_DW,ISO281,modified,4.683306897534491e-07,45040.0,0.021093614266495347,47.407712465301834,1422.231373959055,1001점 표본(1 DLC)
Main Bearing_DW,ISO16281,basic,8.799119402822743e-07,45040.0,0.039631233790313636,25.232623472964203,756.9787041889261,1001점 표본(1 DLC)
Main Bearing_DW,ISO16281,modified,6.628277837438395e-07,45040.0,0.02985376337982253,33.496614389188764,1004.898431675663,1001점 표본(1 DLC)

=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
,,,,,,,,,,
