index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,6.05465,2.01822,4010.131,180.023,-5033.537,41553.593,-20224.57,27877.974
1,20.0,6.10249,2.03416,4298.019,119.086,-5010.222,38628.685,-18538.46,14033.671
2,40.0,6.31263,2.10421,4351.11,143.503,-5019.961,42394.641,-23771.297,23015.865
3,60.0,6.35229,2.11743,3750.711,87.742,-5072.236,42155.747,-11749.798,28722.853
4,80.0,6.10907,2.03636,3895.33,102.54,-5115.728,43774.634,-12434.573,28688.127
5,100.0,6.34615,2.11538,3793.784,100.971,-5033.229,42361.766,-24878.894,16913.244
6,120.0,6.43614,2.14538,3128.187,-39.781,-4991.003,41493.935,-11500.634,11606.288
7,140.0,6.03047,2.01016,3214.073,-87.793,-5037.426,44399.198,-4295.276,11392.507
8,160.0,6.06714,2.02238,3428.108,-58.907,-5050.942,44042.11,-11648.006,16278.4
9,180.0,6.14012,2.04671,3385.677,39.793,-5046.395,43562.473,-23083.886,22982.894
10,200.0,5.77401,1.92467,3932.742,68.647,-4983.235,43125.93,-23466.347,15804.948
11,220.0,6.25472,2.08491,4187.501,38.774,-5004.55,42605.345,-23022.253,18559.345
12,240.0,5.92453,1.97484,3576.674,72.793,-5075.831,39920.573,-17938.921,30992.607
13,260.0,5.96997,1.98999,4138.912,28.997,-5052.618,38396.214,-15256.418,14679.307
14,280.0,6.06049,2.02016,4139.64,92.684,-5014.33,34318.397,-20960.996,20367.036
15,300.0,6.20808,2.06936,4319.573,148.537,-5020.686,38120.754,-23164.173,26064.835
16,320.0,6.39181,2.1306,4301.569,37.42,-5021.438,41909.336,-10999.897,14253.95
17,340.0,6.46047,2.15349,3548.862,-120.068,-5003.324,41547.723,-9254.24,-8362.567
18,360.0,6.47025,2.15675,3037.673,-50.163,-5002.743,41449.986,-19094.827,8766.402
19,380.0,6.1271,2.04237,2911.457,-64.644,-5001.52,43644.321,-12474.098,8924.825
20,400.0,5.87285,1.95762,3822.894,24.4,-4993.062,44873.691,-21181.643,12075.393
21,420.0,6.47161,2.1572,3284.336,-40.612,-4964.39,41522.228,-19454.382,-7769.469
22,440.0,5.97745,1.99248,3369.577,73.676,-5013.479,44632.696,-28131.378,20441.482
23,460.0,5.81887,1.93962,4155.93,131.18,-5011.644,43227.504,-24986.433,24710.468
24,480.0,6.52303,2.17434,3765.62,49.973,-5000.183,41399.843,-18807.459,9603.202
25,500.0,6.00918,2.00306,3471.54,28.75,-4984.564,44022.621,-19559.64,9130.238
26,520.0,5.90062,1.96687,4152.486,86.031,-4995.466,37486.412,-21405.105,12383.534
27,540.0,6.29567,2.09856,3913.66,120.196,-4995.312,42555.327,-24659.096,13411.907
28,560.0,5.98349,1.9945,4241.526,168.491,-5056.613,41763.709,-25877.345,28215.081
29,580.0,6.26255,2.09795,4191.546,142.612,-5050.91,42667.218,-20895.289,23835.476
