index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,0.33657,0.11219,353.005,557.567,-4308.049,-12.143,-21145.427,-15051.405
1,20.0,0.24611,0.08204,412.065,430.495,-4393.654,13.849,-24125.187,-7381.199
2,40.0,0.24311,0.08104,425.455,326.29,-4359.304,-13.688,-29227.743,-4096.729
3,60.0,0.26487,0.08829,423.305,296.717,-4307.687,15.914,-27210.317,-9162.136
4,80.0,0.33585,0.11195,419.71,404.387,-4392.619,-14.061,-22579.779,-10311.345
5,100.0,0.18911,0.06304,423.548,294.019,-4217.087,13.772,-19594.71,-5119.037
6,120.0,0.18775,0.06258,376.742,225.947,-4136.046,-11.508,-24536.799,5254.794
7,140.0,0.25931,0.08644,335.798,-241.054,-3961.852,16.626,-24986.515,8040.718
8,160.0,0.43873,0.14624,411.939,-240.923,-4222.479,15.517,-23068.479,-13097.238
9,180.0,0.23306,0.07769,365.782,-75.363,-3937.169,-17.681,-16385.781,7837.896
10,200.0,0.27944,0.09315,358.511,-290.031,-3926.019,14.319,-24918.08,10033.359
11,220.0,0.42874,0.14291,351.746,-475.71,-4185.498,11.164,-28175.865,-6056.655
12,240.0,0.35554,0.11851,442.89,88.532,-4265.288,-13.792,-23891.153,-5493.498
13,260.0,0.27967,0.09322,338.503,-483.306,-4021.843,10.797,-23141.392,9710.29
14,280.0,0.38399,0.128,401.412,-627.94,-4484.045,11.575,-27491.999,-4631.712
15,300.0,0.35291,0.11764,433.425,-331.051,-4415.506,13.151,-19915.454,3756.397
16,320.0,0.26894,0.08965,357.203,-316.614,-4059.539,-11.438,-25664.003,4376.152
17,340.0,0.37069,0.12356,398.118,-545.214,-4474.858,12.852,-24620.861,-3740.234
18,360.0,0.41402,0.13801,426.045,-331.945,-4518.399,8.986,-23176.869,-1787.477
19,380.0,0.30574,0.10191,409.39,-253.845,-4411.145,11.782,-28401.223,2870.031
20,400.0,0.31333,0.10444,434.753,159.11,-4538.597,-14.136,-24581.812,-4635.987
21,420.0,0.09953,0.03318,463.989,178.493,-4457.863,12.671,-23121.644,-1315.441
22,440.0,0.2341,0.07803,417.731,88.755,-4337.876,11.282,-23944.551,2350.113
23,460.0,0.328,0.10933,421.817,52.389,-4302.873,13.162,-28206.343,-4802.479
24,480.0,0.42858,0.14286,408.339,290.573,-4206.752,14.83,-18184.179,-8185.805
25,500.0,0.25838,0.08613,315.198,219.56,-3923.211,-17.134,-24776.882,3560.243
26,520.0,0.17343,0.05781,402.219,97.096,-4183.603,15.284,-28909.965,-2938.388
27,540.0,0.37417,0.12472,408.741,405.965,-4287.82,-14.476,-21913.19,-10267.975
28,560.0,0.11962,0.03987,349.694,682.972,-4102.856,-12.145,-17032.122,2394.423
29,580.0,0.08609,0.02884,350.709,551.489,-4124.768,17.367,-20443.225,4012.605
