index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,5.11825,76841.843,3120.41,79.871,-5002.647,24365.667,-23277.48,13238.558
1,5.24129,78689.384,3196.446,52.042,-4999.585,25495.95,-18571.442,10297.326
2,4.9704,74622.272,2857.786,-32.902,-4997.124,23260.614,-12557.164,4055.398
3,4.78286,71806.822,2801.175,-51.462,-4996.504,21231.771,-13937.755,3888.372
4,4.83921,72652.673,2815.263,-16.558,-5011.204,21733.263,-15676.408,9329.264
5,4.80255,72102.284,2784.232,33.965,-5034.396,21393.543,-19858.569,14298.942
6,4.98645,74863.236,2989.745,21.336,-5028.487,23153.736,-16829.259,10345.507
7,4.89309,73461.591,2779.543,-17.357,-5028.745,22469.4,-13279.397,12465.563
8,4.72622,70956.466,2636.886,-16.447,-5010.987,20766.225,-19843.623,11566.64
9,4.45954,66952.41,2353.632,19.456,-5007.014,18827.177,-24552.491,9638.423
10,4.20925,63194.723,2215.163,21.284,-4976.734,16462.469,-29719.539,3418.909
11,4.30516,64634.652,2328.874,26.396,-4985.714,17190.09,-30510.635,6582.755
12,4.53223,68043.73,2627.291,39.91,-4977.465,19229.777,-33550.106,11826.588
13,4.828,72484.223,2841.982,23.118,-5001.212,21626.081,-27953.07,14917.839
14,4.83613,72606.282,2764.447,37.533,-5025.598,21827.302,-25635.814,14651.858
15,4.50457,67628.461,2390.804,-22.771,-5017.477,19199.529,-18452.719,10869.29
16,4.24457,63725.294,2241.827,-35.112,-4995.857,16746.462,-18658.027,7258.627
17,4.46782,67076.721,2569.121,15.507,-5007.727,18627.753,-20576.344,14953.806
18,4.75588,71401.462,2725.581,46.239,-5013.736,20987.361,-24409.102,18891.076
19,4.7748,71685.664,2733.975,27.35,-5018.041,21151.377,-21223.136,15141.8
20,4.95517,74393.469,2943.385,25.944,-5022.305,22820.14,-18631.656,13086.715
21,4.83086,72527.462,2691.447,25.876,-4992.453,21892.715,-17061.262,12469.186
22,4.64401,69721.92,2587.756,50.01,-5006.24,20125.3,-22527.787,14702.162
23,4.66165,69986.755,2731.195,35.436,-5000.391,20273.985,-21695.065,12607.156
24,4.89526,73494.02,2886.727,51.718,-4998.454,22207.515,-18836.677,13163.666
25,5.01401,75277.154,3042.781,77.844,-5023.817,23355.569,-17969.964,15601.345
26,5.02151,75389.754,2973.378,56.327,-5023.821,23494.285,-16530.911,16329.4
27,4.84282,72706.721,2796.51,34.182,-4992.858,21965.977,-20677.133,10385.849
28,4.6607,69972.793,2709.741,37.949,-5000.962,20215.482,-20299.292,10966.996
29,4.96734,74949.262,2956.993,56.853,-5016.531,22954.456,-18977.819,14703.565
