index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,3.50086,11669.5,856.718,-2.237,-4961.664,73.401,-27663.451,-1470.358
1,2.80085,9336.2,-141.277,-4.441,-4971.337,-21.089,-31128.919,-1421.69
2,1.20672,4022.4,409.484,-6.234,-4965.251,-15.623,-29248.762,-756.687
3,0.50493,1683.1,467.356,-3.879,-4964.148,-5.484,-28343.129,450.014
4,0.26264,875.5,470.719,-2.927,-4965.746,-2.221,-28215.159,393.359
5,0.14247,474.9,469.009,-2.092,-4965.978,-1.295,-28195.106,-261.239
6,0.06718,223.9,468.306,-2.131,-4964.307,-0.736,-28172.078,-346.983
7,0.03718,123.9,466.882,-2.609,-4963.167,-0.212,-28116.115,-273.257
8,0.02851,95.0,464.777,-2.683,-4962.529,-0.12,-28040.387,208.335
9,0.02573,86.2,465.921,-2.662,-4962.115,-0.064,-28046.425,234.829
