index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.27316,1045.525,4273.583,69.668,-4988.526,41016.875,-19199.801,16431.64
1,6.23692,1039.485,2212.461,-21.97,-4972.448,27775.659,-15962.039,8993.542
2,4.62287,770.48,718.755,-45.131,-4939.608,13019.685,-16390.703,-848.269
3,2.83177,471.96,123.428,-18.092,-4918.883,-32.779,-27107.421,-6486.013
4,0.92305,153.84,405.253,4.453,-4897.039,-15.662,-28833.759,-2669.13
5,0.17938,29.895,456.573,-12.307,-4879.668,-5.178,-27947.367,-697.309
6,0.08969,14.95,459.39,-16.384,-4879.652,0.352,-28222.712,-376.513
7,0.09863,16.44,462.64,-16.534,-4890.56,0.138,-27951.256,-629.188
8,0.09883,16.47,462.789,-11.653,-4899.119,-0.119,-27637.467,-724.615
9,0.09484,15.885,464.836,-2.686,-4902.721,-0.107,-27391.854,-721.107
