index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.49125,54.094,1979.676,-205.602,-4979.264,41996.351,7327.542,-9667.726
1,6.56291,54.691,1917.373,-203.777,-4918.067,40892.536,13098.337,-10045.281
2,6.9862,58.218,1896.46,-315.023,-5011.438,38578.081,16686.851,18024.616
3,6.71414,55.951,1793.392,-405.413,-4981.973,39837.303,31881.543,26925.035
4,7.14707,59.559,1860.631,-371.353,-5009.595,35964.51,25201.146,22727.145
5,6.12434,51.036,1298.489,-210.743,-5038.757,26067.103,-13517.681,16351.992
6,5.21222,43.435,669.321,-159.178,-4840.097,11215.493,-8904.28,-16297.392
7,3.17673,26.473,373.679,-107.23,-4708.253,-55.307,-24117.903,-22946.835
8,0.92504,7.709,458.324,-156.352,-4624.772,-37.766,-28408.495,-13407.125
9,0.11905,0.992,501.878,161.996,-4657.267,-11.357,-27283.092,-8005.472
10,0.0717,0.598,504.009,195.588,-4733.156,11.369,-30777.874,-5327.656
11,0.07205,0.601,488.545,126.44,-4646.95,10.842,-26724.89,-3610.337
12,0.16059,1.338,500.135,-86.399,-4760.147,7.216,-27063.91,2984.318
13,0.24407,2.034,444.407,50.845,-4592.61,9.468,-30474.97,-3177.025
14,0.24953,2.09,461.226,-167.789,-4710.265,-7.718,-29786.265,-3638.986
